grade_token,standard,grade,description,note
WCB,ASTM A216,WCB,cast carbon steel,valve/flange bodies
WCC,ASTM A216,WCC,cast carbon steel,
WC6,ASTM A217,WC6,cast 1.25Cr-0.5Mo alloy steel,
WC9,ASTM A217,WC9,cast 2.25Cr-1Mo alloy steel,
C5,ASTM A217,C5,cast 5Cr-0.5Mo,
CF8,ASTM A351,CF8,cast 18Cr-8Ni stainless,equiv. 304
CF8M,ASTM A351,CF8M,cast 18Cr-10Ni-Mo stainless,equiv. 316
CF3,ASTM A351,CF3,cast low-carbon 304L,
CF3M,ASTM A351,CF3M,cast low-carbon 316L,
A105,ASTM A105,A105,forged carbon steel,flanges/fittings
A182 F5,ASTM A182,F5,forged 5Cr,
A182 F9,ASTM A182,F9,forged 9Cr,
A182 F11,ASTM A182,F11,forged 1.25Cr-0.5Mo,
A182 F22,ASTM A182,F22,forged 2.25Cr-1Mo,
A182 F304,ASTM A182,F304,forged 304 stainless,
A182 F304L,ASTM A182,F304L,forged 304L stainless,
A182 F316,ASTM A182,F316,forged 316 stainless,
A182 F316L,ASTM A182,F316L,forged 316L stainless,
A182 F51,ASTM A182,F51,forged duplex 2205,
A106 GR A,ASTM A106,GR A,seamless carbon steel pipe,
A106 GR B,ASTM A106,GR B,seamless carbon steel pipe,most common
A106 GR C,ASTM A106,GR C,seamless carbon steel pipe,
A53 GR A,ASTM A53,GR A,carbon steel pipe,
A53 GR B,ASTM A53,GR B,carbon steel pipe,
A333 GR 6,ASTM A333,GR 6,low temperature carbon steel pipe,LTCS
A335 P11,ASTM A335,P11,alloy steel seamless pipe,
A335 P22,ASTM A335,P22,alloy steel seamless pipe,
A312 TP304,ASTM A312,TP304,stainless seamless pipe,
A312 TP316,ASTM A312,TP316,stainless seamless pipe,
A312 TP316L,ASTM A312,TP316L,stainless seamless pipe,
A234 WPB,ASTM A234,WPB,carbon steel butt-weld fitting,
A234 WP11,ASTM A234,WP11,alloy steel butt-weld fitting,
A234 WP22,ASTM A234,WP22,alloy steel butt-weld fitting,
A403 WP304,ASTM A403,WP304,stainless butt-weld fitting,
A403 WP316,ASTM A403,WP316,stainless butt-weld fitting,
A193 B7,ASTM A193,B7,alloy steel bolting,stud bolts
A193 B8,ASTM A193,B8,304 stainless bolting,
A193 B8M,ASTM A193,B8M,316 stainless bolting,
A194 GR 2H,ASTM A194,2H,carbon steel nut,
A194 GR 8,ASTM A194,8,304 stainless nut,
API 5L GR B,API 5L,GR B,line pipe,
API 5L X42,API 5L,X42,line pipe,
API 5L X52,API 5L,X52,line pipe,
API 5L X60,API 5L,X60,line pipe,
API 5L X65,API 5L,X65,line pipe,
API 5L X70,API 5L,X70,line pipe,
API 6D,API 6D,-,pipeline valves specification,
API 600,API 600,-,bolted bonnet steel gate valves,
API 602,API 602,-,compact steel gate/globe/check valves,
API 608,API 608,-,metal ball valves,
API 609,API 609,-,butterfly valves,
ASME B16.5,ASME B16.5,-,pipe flanges and flanged fittings,
ASME B16.9,ASME B16.9,-,factory-made butt-welding fittings,
ASME B16.11,ASME B16.11,-,"forged fittings, socket-welding/threaded",
ASME B16.20,ASME B16.20,-,metallic gaskets for pipe flanges,
IS 1239,IS 1239,-,Indian Standard steel tubes,
IS 3589,IS 3589,-,Indian Standard ERW steel tubes,
IS 6527,IS 6527,-,Indian Standard steel wire ropes,
